time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-12-31T22:40:58.030Z,-2.951,139.297,33,4.2,mb,15,,,0.98,us,usp000avmd,2014-11-07T01:14:33.495Z,"near the north coast of Papua, Indonesia",earthquake,,,,2,reviewed,us,us
2001-12-31T22:30:26.300Z,-31.659,-69.719,142,3.5,md,7,,,,us,usp000avmc,2014-11-07T01:14:33.493Z,"San Juan, Argentina",earthquake,,,,,reviewed,guc,guc
2001-12-31T22:21:09.250Z,36.37,71.24,134.1,4.5,mb,59,,,1.02,us,usp000avmb,2014-11-07T01:14:33.488Z,"Hindu Kush region, Afghanistan",earthquake,,,,29,reviewed,us,us
2001-12-31T22:08:24.630Z,38.8488333,-122.7931667,0.681,2.63,md,34,36,0.05946,0.03,nc,nc21207690,2017-01-02T01:17:46.668Z,"Northern California",earthquake,0.1,0.49,0.15,34,reviewed,nc,nc
2001-12-31T20:15:12.700Z,-17.368,-72.777,33,4.5,mb,12,,,1.43,us,usp000avm9,2014-11-07T01:14:33.486Z,"near the coast of southern Peru",earthquake,,,,3,reviewed,us,us
2001-12-31T19:32:22.900Z,-31.28,-70.099,127.6,3,md,9,,,,us,usp000avm8,2014-11-07T01:14:33.484Z,"San Juan, Argentina",earthquake,,,,,reviewed,guc,guc
2001-12-31T19:14:10.490Z,-17.419,-72.67,31,5.3,mwc,91,,,1.07,us,usp000avm7,2016-11-10T00:20:01.678Z,"near the coast of southern Peru",earthquake,,,,,reviewed,us,hrv
2001-12-31T19:08:09.110Z,36.129,-34.164,10,4.7,mb,48,,,0.64,us,usp000avm6,2014-11-07T01:14:33.466Z,"Azores Islands region",earthquake,,,,27,reviewed,us,us
2001-12-31T18:04:48.730Z,36.113,-34.067,10,4.3,mb,7,,,0.28,us,usp000avm3,2014-11-07T01:14:33.462Z,"Azores Islands region",earthquake,,,,1,reviewed,us,us
2001-12-31T15:59:17.560Z,-6.163,130.214,100,4,mb,5,,,1.12,us,usp000avm0,2014-11-07T01:14:33.458Z,"Banda Sea",earthquake,,,,2,reviewed,us,us
2001-12-31T15:30:08.640Z,44.962,15.114,10,4.5,ml,85,,,0.95,us,usp000avkz,2014-11-07T01:14:33.443Z,"Croatia",earthquake,,,,,reviewed,us,str
2001-12-31T15:28:13.400Z,19.427,-108.904,10,3.9,mb,31,,,1.13,us,usp000avky,2014-11-07T01:14:33.440Z,"Revilla Gigedo Islands region",earthquake,,,,9,reviewed,us,us
2001-12-31T15:13:05.460Z,23.787,122.962,10,4.8,mb,10,,,0.88,us,usp000avkx,2014-11-07T01:14:33.439Z,"Taiwan region",earthquake,,,,1,reviewed,us,us
2001-12-31T15:08:45.370Z,19.359,-64.083,64.1,4,md,8,,,,us,usp000avkv,2014-11-07T01:14:33.436Z,"Virgin Islands region",earthquake,,,,,reviewed,rspr,rspr
2001-12-31T14:41:06.160Z,11.411,124.507,33,4.5,mb,37,,,1.08,us,usp000avku,2014-11-07T01:14:33.431Z,"Leyte, Philippines",earthquake,,,,15,reviewed,us,us
2001-12-31T13:32:32.190Z,36.308,28.095,75.3,4,mb,20,,,0.7,us,usp000avks,2014-11-07T01:14:33.427Z,"Dodecanese Islands, Greece",earthquake,,5.9,,6,reviewed,us,us
2001-12-31T12:31:59.920Z,-32.287,-179.687,250,4.3,mb,19,,,1.16,us,usp000avkq,2014-11-07T01:14:33.398Z,"south of the Kermadec Islands",earthquake,,,,6,reviewed,us,us
2001-12-31T12:10:25.000Z,-32.981,-179.429,250,3.8,mb,11,,,1.08,us,usp000avkp,2014-11-07T01:14:33.396Z,"south of the Kermadec Islands",earthquake,,,,4,reviewed,us,us
2001-12-31T09:13:53.160Z,19.797,-64.395,15,4.1,md,6,,,,us,usp000avkm,2014-11-07T01:14:33.393Z,"north of the Virgin Islands",earthquake,,,,,reviewed,rspr,rspr
2001-12-31T08:43:02.970Z,-49.147,121.582,10,4.5,mb,9,,,1.39,us,usp000avkh,2014-11-07T01:14:33.389Z,"western Indian-Antarctic Ridge",earthquake,,,,3,reviewed,us,us
2001-12-31T08:02:21.350Z,1.935,126.752,33,4.8,mb,47,,,0.97,us,usp000avkg,2014-11-07T01:14:33.385Z,"Molucca Sea",earthquake,,,,20,reviewed,us,us
2001-12-31T07:55:38.300Z,5.259,127.685,33,4.8,mb,17,,,1.03,us,usp000avkf,2014-11-07T01:14:33.383Z,"Philippine Islands region",earthquake,,,,4,reviewed,us,us
2001-12-31T07:54:48.280Z,15.347,-105.053,33,4.6,mb,57,,,0.93,us,usp000avke,2014-11-07T01:14:33.378Z,"off the coast of Michoacan, Mexico",earthquake,,,,21,reviewed,us,us
2001-12-31T07:52:16.000Z,49.48,-129.57,10,3.8,mb,20,,,,us,usp000avkd,2014-11-07T01:14:33.375Z,"Vancouver Island, Canada region",earthquake,,,,3,reviewed,pgc,us
2001-12-31T07:48:10.510Z,-37.36,144.867,10,2.7,ml,6,,,1.27,us,usp000avkc,2014-11-07T01:14:33.374Z,"near the southeast coast of Australia",earthquake,,,,,reviewed,us,aust
2001-12-31T07:21:16.130Z,34.488,31.976,25,2.8,ml,4,,,,us,usp000avkb,2014-11-07T01:14:33.372Z,"Cyprus region",earthquake,,,,,reviewed,css,css
2001-12-31T07:14:23.500Z,-34.32,-70.472,108.6,2.9,md,9,,,,us,usp000avka,2014-11-07T01:14:33.371Z,"Libertador General Bernardo O'Higgins, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-31T06:05:05.820Z,34.524,31.915,25,3.4,ml,5,,,,us,usp000avk8,2014-11-07T01:14:33.368Z,"Cyprus region",earthquake,,,,,reviewed,css,css
2001-12-31T05:55:27.610Z,4.665,94.471,49,4.8,mb,72,,,0.9,us,usp000avk7,2014-11-07T01:14:33.362Z,"off the west coast of northern Sumatra",earthquake,,9.1,,36,reviewed,us,us
2001-12-31T05:23:06.720Z,-9.495,159.32,33,4.9,mb,30,,,0.85,us,usp000avk6,2014-11-07T01:14:33.359Z,"Solomon Islands",earthquake,,,,10,reviewed,us,us
2001-12-31T05:12:52.670Z,29.728,142.109,33,4.8,mb,86,,,1.04,us,usp000avk5,2014-11-07T01:14:33.352Z,"Izu Islands, Japan region",earthquake,,,,52,reviewed,us,us
2001-12-31T05:06:29.290Z,31.7875,-116.2533333,-0.854,3.37,ml,8,300.5,0.8687,0.06,ci,ci9741665,2016-04-02T11:43:44.246Z,"31km ENE of Maneadero, B.C., MX",earthquake,4.28,8,0.303,18,reviewed,ci,ci
2001-12-31T04:44:38.630Z,-2.57,83.299,10,4.8,mb,43,,,1.12,us,usp000avk3,2014-11-07T01:14:33.346Z,"South Indian Ocean",earthquake,,,,18,reviewed,us,us
2001-12-31T03:40:58.910Z,34.424,31.949,25,3.3,ml,6,,,,us,usp000avk1,2014-11-07T01:14:33.344Z,"Cyprus region",earthquake,,,,,reviewed,css,css
2001-12-31T02:29:20.480Z,20.548,121.741,72.2,4.6,mb,20,,,1.11,us,usp000avk0,2014-11-07T01:14:33.341Z,"Batan Islands region, Philippines",earthquake,,16.6,,4,reviewed,us,us
2001-12-31T02:09:54.500Z,38.16,22.77,36,3.1,md,9,,,,us,usp000avjz,2014-11-07T01:14:33.340Z,"Greece",earthquake,,,,,reviewed,ath,ath
2001-12-31T02:06:02.580Z,-30.558,117.126,10,2.5,ml,7,,,1.08,us,usp000avjy,2014-11-07T01:14:33.338Z,"Western Australia",earthquake,,,,,reviewed,us,aust
2001-12-31T01:16:53.800Z,-32.67,-71.738,27.1,3.4,ml,18,,,,us,usp000avjx,2014-11-07T01:14:33.336Z,"offshore Valparaiso, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-30T23:41:04.400Z,17.149,-94.639,142.2,4,md,6,,,,us,usp000avjv,2014-11-07T01:14:33.332Z,"Oaxaca, Mexico",earthquake,,,,,reviewed,unm,unm
2001-12-30T22:57:56.660Z,0.994,126.275,33,4.8,mb,35,,,0.81,us,usp000avju,2014-11-07T01:14:33.329Z,"Molucca Sea",earthquake,,,,11,reviewed,us,us
2001-12-30T21:49:24.400Z,-32.667,-71.748,26.7,2.6,ml,13,,,,us,usp000avjt,2014-11-07T01:14:33.327Z,"offshore Valparaiso, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-30T21:30:56.300Z,16.97,-100.148,4.7,4,md,15,,,,us,usp000avjs,2014-11-07T01:14:33.325Z,"Guerrero, Mexico",earthquake,,,,,reviewed,unm,unm
